"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"FORD","FOCUSST-Line",10295,"Manual","Petrol",22053,2024
"FORD","FOCUSTitanium",10295,"Manual","Petrol",51792,2024
"FORD","FOCUSTitanium",10320,"Manual","Petrol",6128,2024
"FORD","FOCUSST-Line",10345,"Automatic","Petrol",46124,2024
"FORD","FOCUSST-Line",10378,"Manual","Petrol",40159,2024
"FORD","PUMAST-Line X",10390,"Manual","Petrol",6567,2024
"FORD","FOCUSActive X",10395,"Manual","Petrol",28977,2024
"FORD","FOCUSTitanium X Edition",10395,"Manual","Petrol",20277,2024
"FORD","FOCUSTitanium X Edition",10401,"Manual","Petrol",19582,2024
"FORD","FOCUSTitanium X Edition",10407,"Manual","Petrol",32167,2024
"FORD","PUMAST-Line X",10412,"Manual","Petrol",23992,2024
"FORD","FOCUSActive X",10417,"Manual","Petrol",29480,2024
"FORD","FOCUSST-Line",10295,"Manual","Petrol",22053,2024
"FORD","FOCUSTitanium",10295,"Manual","Petrol",51792,2024
"FORD","FOCUSTitanium",10320,"Manual","Petrol",6128,2024
"FORD","FOCUSST-Line",10345,"Automatic","Petrol",46124,2024
"FORD","FOCUSST-Line",10378,"Manual","Petrol",40159,2024
"FORD","PUMAST-Line X",10390,"Manual","Petrol",6567,2024
"FORD","FOCUSActive X",10395,"Manual","Petrol",28977,2024
"FORD","FOCUSTitanium X Edition",10395,"Manual","Petrol",20277,2024
"FORD","FOCUSTitanium X Edition",10401,"Manual","Petrol",19582,2024
"FORD","FOCUSTitanium X Edition",10407,"Manual","Petrol",32167,2024
"FORD","PUMAST-Line X",10412,"Manual","Petrol",23992,2024
"FORD","FOCUSActive X",10417,"Manual","Petrol",29480,2024
"FORD","FOCUSST-Line",10295,"Manual","Petrol",22053,2024
"FORD","FOCUSTitanium",10295,"Manual","Petrol",51792,2024
"FORD","FOCUSTitanium",10320,"Manual","Petrol",6128,2024
"FORD","FOCUSST-Line",10345,"Automatic","Petrol",46124,2024
"FORD","FOCUSST-Line",10378,"Manual","Petrol",40159,2024
"FORD","PUMAST-Line X",10390,"Manual","Petrol",6567,2024
"FORD","FOCUSActive X",10395,"Manual","Petrol",28977,2024
"FORD","FOCUSTitanium X Edition",10395,"Manual","Petrol",20277,2024
"FORD","FOCUSTitanium X Edition",10401,"Manual","Petrol",19582,2024
"FORD","FOCUSTitanium X Edition",10407,"Manual","Petrol",32167,2024
"FORD","PUMAST-Line X",10412,"Manual","Petrol",23992,2024
"FORD","FOCUSActive X",10417,"Manual","Petrol",29480,2024
"FORD","FOCUSST-Line",10295,"Manual","Petrol",22053,2024
"FORD","FOCUSTitanium",10295,"Manual","Petrol",51792,2024
"FORD","FOCUSTitanium",10320,"Manual","Petrol",6128,2024
"FORD","FOCUSST-Line",10345,"Automatic","Petrol",46124,2024
